"date","open","high","low","close","volume","turnover","return"
"2016/6/3",2176.358,2236.578,2175.815,2204.974,229737.01,5665639.18,0.00747283797799803
"2016/6/6",2212.457,2219.275,2181.985,2199.301,162562.31,3876398.5,-0.00257613484053199
"2016/6/7",2202.041,2204.184,2181.295,2196.727,144320.62,3273728.99,-0.00117105727905287
"2016/6/8",2191.27,2201.526,2166.965,2186.544,150834.78,3438999.34,-0.00464631017310069
"2016/6/13",2150.392,2165.283,2054.707,2054.707,183546.6,4000284.41,-0.0621889564459757
"2016/6/14",2045.211,2070.151,2032.437,2058.314,126912.13,2702280.93,0.00175394238185866
"2016/6/15",2033.6,2143.453,2031.667,2128.799,177777.6,3767553.21,0.0336707698437486
"2016/6/16",2124.156,2137.183,2097.346,2101.416,170677.85,3638375.28,-0.0129465677178269
"2016/6/17",2109.574,2154.517,2105.238,2122.89,156279.14,3365661.88,0.0101669646920621
"2016/6/20",2117.986,2127.677,2088.286,2119.63,119246.28,2571787.9,-0.00153682275705425
"2016/6/21",2135.462,2153.228,2083.692,2092.001,160480.69,3340171.92,-0.0131205209361633
"2016/6/22",2085.98,2144.818,2085.65,2144.818,142221.78,2902867.03,0.0249336760812611
"2016/6/23",2144.583,2153.58,2115.839,2137.485,168370.15,3519713.93,-0.00342479603500045
"2016/6/24",2131.154,2157.941,2060.196,2127.364,199226.73,4014872.11,-0.00474624963253945
"2016/6/27",2111.1,2194.128,2110.603,2191.806,210309.23,4373552.88,0.0298422068916988
"2016/6/28",2181.412,2221.462,2173.532,2216.71,232159.9,4970332.62,0.0112982531613026
"2016/6/29",2228.506,2238.353,2203.489,2209.788,184438.77,4086794.32,-0.00312753135425226
"2016/6/30",2213.602,2233.279,2206.805,2227.79,179415.09,4157073.54,0.00811347935909357
"2016/7/1",2231.182,2241.628,2203.933,2211.177,146683.84,3598314.24,-0.00748510974037764
"2016/7/4",2195.622,2254.15,2193.844,2248.712,177846.34,4210475.64,0.0168326549177866
"2016/7/5",2253.689,2259.287,2229.001,2246.024,161391.71,3904422.37,-0.00119606594044619
"2016/7/6",2239.758,2246.73,2229.266,2241.56,137384.1,3206386.14,-0.00198948987802794
"2016/7/7",2240.895,2247.584,2212.414,2233.922,167959.81,3905396.28,-0.00341326695782662
"2016/7/8",2231.969,2257.318,2220.205,2239.002,155573.63,3581597.16,0.00227144578543026
"2016/7/11",2242.26,2252.664,2216.568,2218.588,164778.05,3789753.87,-0.0091592733807131
"2016/7/12",2218.019,2247.354,2182.03,2247.354,186712.8,4163721.93,0.0128825666942998
"2016/7/13",2258.263,2299.859,2250.64,2285.369,236551.74,5237642.76,0.0167739750876557
"2016/7/14",2282.157,2295.588,2273.421,2293.079,201132,4491866.54,0.00336795669098411
"2016/7/15",2289.103,2293.085,2260.163,2263.784,176709.1,3985166.56,-0.0128577065353275
"2016/7/18",2257.418,2268.789,2234.209,2249.871,143078.02,3316276.79,-0.00616486818965889
"2016/7/19",2249.735,2273.719,2236.996,2273.719,152793.41,3670344.41,0.0105439356531152
"2016/7/20",2272.644,2288.647,2268.527,2268.535,149555.71,3601957.59,-0.00228256819225514
"2016/7/21",2266.083,2289.668,2259.202,2265.128,145470.4,3364096.86,-0.00150297922071019
"2016/7/22",2262.102,2269.551,2248.303,2249.999,134984.55,3137042.43,-0.00670149770774131
"2016/7/25",2245.864,2264.438,2235.446,2245.885,123983.86,3016090.82,-0.00183011890354123
"2016/7/26",2245.937,2279.55,2245.937,2279.55,124478.31,2930932.4,0.0148784021973425
"2016/7/27",2282.066,2284.283,2138.781,2155.386,222551.43,4995571.22,-0.0560082292201818
"2016/7/28",2150.318,2166.603,2109.868,2139.744,142812.76,3202170.09,-0.00728363013564959
"2016/7/29",2144.272,2147.194,2109.132,2122.412,102174.99,2271351.18,-0.00813301790771614
"2016/8/1",2113.674,2118.09,2066.175,2099.179,110305.62,2433523.1,-0.0110068618954209
"2016/8/2",2096.551,2114.954,2094.117,2113.214,75521.76,1659938.27,0.00666369540312051
"2016/8/3",2110.234,2117.618,2096.732,2108.315,77992.22,1672820.83,-0.00232096105424606
"2016/8/4",2107.623,2133.177,2102.272,2129.652,91039.05,2018129.33,0.0100695358361387
